ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,mod_type,pct_return
MA,2009-07-16,2009-09-02,17.157574667930604,19.990000000000002,801,2267.7726909875882,Zhan Module B (EMA Breakout),0.16508308352948703
BAC,2009-07-30,2009-09-02,13.87693488550186,16.14192461872101,1140,2581.0882958698303,Zhan Module B (EMA Breakout),0.16321974210497536
PFE,2009-08-07,2009-09-02,15.102424681663512,15.504577702999116,978,392.30565486622044,Zhan Module B (EMA Breakout),0.026628374569804977
NKE,2009-08-20,2009-09-02,14.207099809169769,13.523234733104706,1235,-845.5733689403523,Zhan Module B (EMA Breakout),-0.04813544532316664
NFLX,2009-08-20,2009-09-02,0.6384620744884014,0.5952731960117817,22903,-990.1548837500204,Zhan Module B (EMA Breakout),-0.0676451745567297
WMT,2009-09-03,2009-09-15,17.058524236679077,16.8315801525116,998,-227.49019599914294,Zhan Module B (EMA Breakout),-0.013303852139770972
HD,2009-08-31,2009-09-24,27.513749999999998,27.02648091506958,649,-317.2376361198411,Zhan Module B (EMA Breakout),-0.01771002080524893
CRM,2009-09-04,2009-09-25,13.081537309169768,14.01798711872101,1307,1222.939901083473,Zhan Module B (EMA Breakout),0.0715856085885883
MA,2009-09-04,2009-09-25,20.355171813011168,21.424281966209413,700,747.3771072387718,Zhan Module B (EMA Breakout),0.05252277716048866
BAC,2009-09-04,2009-09-28,17.07853469467163,16.70164408493042,579,-219.21966304016053,Zhan Module B (EMA Breakout),-0.022068088186675452
JNJ,2009-09-25,2009-10-02,60.60028469467163,59.79008969497681,245,-199.49777492523143,Zhan Module B (EMA Breakout),-0.013369491641448671
JPM,2009-09-29,2009-10-02,44.91244438934326,40.79958969497681,398,-1637.9161683578461,Zhan Module B (EMA Breakout),-0.09157494654961015
CVX,2009-09-29,2009-10-02,71.53575,68.18589122009277,208,-697.7706262207023,Zhan Module B (EMA Breakout),-0.04682775786802015
AMZN,2009-09-15,2009-10-05,4.210604158401489,4.431283063173295,4154,915.7001704220796,Zhan Module B (EMA Breakout),0.052410270942111974
BAC,2009-10-06,2009-10-19,17.218604084014892,17.26136545753479,581,23.844358015060838,Zhan Module B (EMA Breakout),0.0024834401970828886
